// =============================================================================
// AdamR.wad
// =============================================================================

// C: Concrete
C tmpl-muro1_hd
C tmpl-pillar
C tmpl-pillar2
C tmpl-pillar2_hd
C tmpl-pillar-b1
C tmpl-pillar-b1_
C tmpl-pillar-b2
C tmpl-pillar-b2_
C tmpl-pillar-g1
C tmpl-pillar-g1_
C tmpl-pillar-g2
C tmpl-pillar-g2_
C tmpl-pillar-g3
C tmpl-pillar-g3_
C tmpl-pillar-g4
C tmpl-pillar-g4_
C tmpl-pillar-r1
C tmpl-pillar-r1_
C tmpl-pillar-r2
C tmpl-pillar-r2_
C tmpl-pillar_hd
C tmpl-pillara
C tmpl-pillara_hd
C tmpl-rockd_hd
C tmpl-sand2tile
C tmpl-sand2tile_
C tmpl-stone
C tmpl-stone2
C tmpl-stone2_hd
C tmpl-stone3
C tmpl-stone3_hd
C tmpl-stone4
C tmpl-stone4_hd
C tmpl-stone5
C tmpl-stone5_hd
C tmpl-stone-hlmt
C tmpl-stone-rptr
C tmpl-stone_hd
C tmpl-tiles
C tmpl-tiles2
C tmpl-tiles2_hd
C tmpl-tiles2a
C tmpl-tiles2a_hd
C tmpl-tiles3
C tmpl-tiles3_hd
C tmpl-tiles3a
C tmpl-tiles3a_hd
C tmpl-tiles4
C tmpl-tiles4_hd
C tmpl-tiles4a
C tmpl-tiles4a_hd
C tmpl-tiles_hd
C tmpl-tilesa
C tmpl-tilesa_hd
C tmpl-tilesgrass
C tmpl-vrock
C tmpl-vrock_hd
C volcanicrocks
C {rock_netting
C {wallcrack1
C {wallcrack2

// M: Metal
M -2met04a
M -2met09a
M -1met04a
M -1met06a
M -1met09a
M -0met04a
M -0met06a
M -0met09a
M GENERIC015K_BLU
M GENERIC015L_BLU
M airmet1
M airmet2
M barrel5
M barrel6
M barrel7
M barrel8
M button_frost_s
M d6_door
M elec_skt_hard
M fusebox1
M generic015kh
M generic015le
M gold
M goldcoins
M messyrust
M met04a1
M met04a2
M met04a3
M met06a1
M met06a2
M met06b
M met06c
M met08a
M met09a
M met09a1
M met09a2
M met09a3
M met09b
M met09b1
M met09b2
M met09c
M met09c2
M met09c3a
M met09c3b
M met09d
M met09rlk
M met10
M met10a
M met10a1
M met10b
M met10b1
M met10c
M met10c1
M met10c1a
M met10rar
M metalgreen
M metalmisc01
M metalmisc02
M metalmisc03
M metalrust01
M metalrust02
M metalrust03
M metaltiles
M nomble
M nomble_b
M orhex
M orside
M rope_metal
M rustbig
M rustconcret
M rustdirty
M rustgrid
M rustines
M rustpipes
M rustsurface
M safe_door_front
M safe_door_in
M safe_side
M shodan
M sign_alarm
M sign_haha_fu
M sign_keepout
M silo2_tiled
M storec_bi_b1
M storec_bi_b2
M storec_bi_b3
M storec_bi_b4
M storec_bi_g1
M storec_bi_g2
M storec_bi_g3
M storec_bi_g4
M storec_bi_r1
M storec_bi_r2
M storec_bi_r3
M storec_bi_r4
M storec_bi_y1
M storec_bi_y2
M storec_bi_y3
M storec_bi_y4
M treadplace01
M treadplace02
M treadplace03
M treadplace03r
M xcrate9bbi
M xcrate9cbi
M xcrate11d_r1
M xcrate11d_r2
M xcrate_ammo
M xcrate_ammo2
M xcrate_energy
M xcrate_energy2
M {beanindustries
M {num_0
M {num_1
M {num_2
M {num_3
M {num_4
M {num_5
M {num_6
M {num_7
M {num_8
M {num_9
M {paint_0
M {paint_1
M {paint_2
M {paint_3
M {paint_4
M {paint_5
M {paint_6
M {paint_7
M {paint_8
M {paint_9
M {sign_construct
M {sign_fallbacon
M {sign_monitored
M {sign_quicksand
M {test_guardsden
M {test_guardsonl
M {test_playersde
M {test_playerson
M {winrar-is-you

// D: Dirt
D burberry
D carpet01
D carpet02
D carpet03
D carpet04
D carpet05
D carpet06
D carpet07
D carpet08
D carpet09
D carpet10
D dn3d_cpt_bl
D dn3d_cpt_br
D dn3d_cpt_r
D flag_cz
D flag_uk_w
D flag_us
D flag_se
D grass02
D grass03
D grass04
D grass_clean
D grass_clean_hd
D leaves01
D leaves02
D leaves03
D leaves04
D leaves05
D rope_hemp
D rope_plastic
D rug1
D rug2
D tmpl-sand
D tmpl-sand_hd
D wallpaper01
D wallpaper02
D wallpaper03
D wallpaper04
D wallpaper05
D wallpaper06
D wallpaper07
D wallpaper08
D wallpaper09
D wallpaper10
D wallpaper11
D wallpaper12
D wallpaper13
D wallpaper14
D wallpaper15
D wallpaper16
D wallpaper17
D wallpaper18
D wallpaper19
D wallpaper20
D wallpaper21
D wallpaper22
D wallpaper23
D wallpaper24
D wallpaper25
D wallpaper26
D wallpaper27
D wallpaper28
D wallpaper29
D wallpaper30
D wallpaper_h000a
D wallpaper_h020a
D wallpaper_h040a
D wallpaper_h060a
D wallpaper_h080a
D wallpaper_h100a
D wallpaper_h120a
D wallpaper_h140a
D wallpaper_h160a
D wallpaper_h180a
D wallpaper_h200a
D wallpaper_h220a
D wallpaper_h240a
D wallpaper_h260a
D wallpaper_h280a
D wallpaper_h300a
D wallpaper_h320a
D wallpaper_h340a
D wallpaper_g000a
D wallpaper_g020a
D wallpaper_g040a
D wallpaper_g050a
D wallpaper_g060a
D wallpaper_g080a
D wallpaper_g100a
D wallpaper_h000b
D wallpaper_h020b
D wallpaper_h040b
D wallpaper_h060b
D wallpaper_h080b
D wallpaper_h100b
D wallpaper_h120b
D wallpaper_h140b
D wallpaper_h160b
D wallpaper_h180b
D wallpaper_h200b
D wallpaper_h220b
D wallpaper_h240b
D wallpaper_h260b
D wallpaper_h280b
D wallpaper_h300b
D wallpaper_h320b
D wallpaper_h340b
D wallpaper_g000b
D wallpaper_g020b
D wallpaper_g040b
D wallpaper_g050b
D wallpaper_g060b
D wallpaper_g080b
D wallpaper_g100b

// V: Vent
V airduc01
V airduc01a1
V airduc01a2
V airduc01a4
V airduc01a5
V airex1
V airex2

// G: Grate

// T: Tile
T lab2_w3a2_red
T pooltile_as
T pooltile_b
T pooltile_db
T pooltile_w
T s_black
T s_blue
T s_cyan
T s_green
T s_grey
T s_lime
T s_magenta
T s_maroon
T s_navy
T s_olive
T s_purple
T s_red
T s_silver
T s_teal
T s_white
T s_yellow
T scroll_test
T signb_boots
T signb_earprot
T signb_eyeprot
T signb_faceprot
T signb_fireexit
T signb_gloves
T signb_hardhat
T signb_harness
T signb_overalls
T signb_predroute
T signb_resp
T signf_arrowD
T signf_arrowL
T signf_arrowR
T signf_arrowU
T signf_extinguis
T signf_hose
T signf_lasser
T signf_phone
T signg_arrowD
T signg_arrowL
T signg_arrowR
T signg_arrowU
T signg_exitD
T signg_exitL
T signg_exitR
T signg_exitU
T signg_eyewash
T signg_firstaid
T signg_phone
T signg_stretcher
T signr_access
T signr_flames
T signr_no
T signr_nodrink
T signr_noentry
T signr_notouch
T signr_people
T signr_smoking
T signr_vehicles
T signr_waterex
T signy_biohazard
T signy_chemweap
T signy_corrosive
T signy_drop
T signy_electric
T signy_explosive
T signy_flamable
T signy_general
T signy_harmful
T signy_indvehic
T signy_irritant
T signy_laser
T signy_lowtemp
T signy_magnetic
T signy_niradiati
T signy_obstacles
T signy_ohload
T signy_oxidant
T signy_radiation
T signy_toxic

// S: Slosh
S !d6water2
S !dmclava_nl
S !dmclva
S !dmctele
S !lava_hr
S !lava_hr_nl
S !lavachunky
S !lavachunky_nl
S !mercury
S !oil
S !seanight
S !seawater
S !water_clear
S baked-beans
S food_berry01
S food_berry02
S food_cherry
S food_pie
S scroll_chunklva
S scroll_d6water2
S scroll_dmlava
S scroll_hr_lava
S scroll_hr_water
S scroll_oil

// W: Wood
W ar_cheater
W ar_incomplete
W ar_logo_arch
W ar_logo_cathous
W ar_logo_catshow
W ar_logo_chavcar
W ar_logo_cookie
W ar_logo_doug
W ar_logo_formatc
W ar_logo_hampste
W ar_logo_handwas
W ar_logo_intel
W ar_logo_orly
W ar_logo_plane
W ar_logo_purepwn
W ar_logo_rabbit
W ar_logo_slowdie
W ar_logo_walkers
W ar_logo_watersk
W badface
W bcrate02bi
W bcrate04bi
W bcrate07bi
W bcrate09bbi
W bcrate14bi
W bcrate15bi
W bcrate17bi
W bcrate18bi
W bcrate25bi
W bcrate26bi
W cat-kthxbai
W crate01bi
W crate02bbi
W crate02bi
W crate04bi
W crate07bi
W crate10bi
W crate13bi
W crate19bi
W crate20bi
W crate22bi
W crate25bi
W drw_haha_fu
W drw_lol_beta
W drw_lolno
W duckroll
W fuk-yea-seaking
W hit-it-7years
W kissy-lips
W linklol
W lolface
W lost-the-game
W martindickcatch
W omnomnom-boat
W omnomnom-snails
W pallet-front
W pallet-side
W puzzle_q
W shark-beehive
W sonic3pressup
W splendid_p001
W splendid_p004
W splendid_p007
W splendid_p025
W splendid_p025t
W splendid_p094
W stand-the-fuck-
C tmpl-wood
C tmpl-wood_hd
C tmpl-woodl1
C tmpl-woodl1_hd
C tmpl-woodl2
C tmpl-woodl2_hd
W wales
W wales_hd
W wood_clean
W wood_clean_hd
W wood02
W wood03
W wood_lam1
W wood_lam2
W wood_lam3
W wood_lam4
W wood_lam5
W {wood_rail
W {wood_spaced

// P: Computer
P +0button3_blue
P +0button3_g0
P +0button3_g1
P +0button3_g2
P +0button3_g3
P +0button3_g4
P +0button3_g5
P +0button3_g6
P +0button3_g7
P +0button3_g8
P +0button3_g9
P +0button3_green
P +0button3_red
P +0button_frost
P +0button_resets
P +0interlaced
P +0mon_nomble
P +0mon_xp
P +0nomble_a
P +0nomble_ab
P +0pr_cardslot
P +1interlaced
P +1mon_nomble
P +1mon_xp
P +1nomble_a
P +1nomble_ab
P +2mon_xp
P +3mon_xp
P +4mon_xp
P +abutton3_blue
P +abutton3_g0
P +abutton3_g1
P +abutton3_g2
P +abutton3_g3
P +abutton3_g4
P +abutton3_g5
P +abutton3_g6
P +abutton3_g7
P +abutton3_g8
P +abutton3_g9
P +abutton3_green
P +abutton3_red
P +Abutton_frost
P +Abutton_resets
P +Apr_cardslot
P mon_amnizu
P mon_blank
P mon_bsod
P mon_chart
P mon_decca
P mon_desktop
P mon_dftp
P mon_excel
P mon_failmount
P mon_google
P mon_hurrdurr
P mon_linuxshell
P mon_wcc
P rackmount
P SIGN42A-Direct
P SIGN42A-Kill
P SIGN42A-Toggle
P tv_3dpinball
P tv_blank
P tv_ckeen4
P tv_doom2
P tv_jelly
P tv_kicelandfall
P tv_knightmare
P tv_lancia037
P tv_lanciadi
P tv_lotus3menu
P tv_lotus3race
P tv_ns2_biiorece
P tv_ns2_bioarb
P tv_ns2_biocan
P tv_ns2_biohall
P tv_ns2_biosph
P tv_ns2_derabnds
P tv_ns2_derbiosp
P tv_ns2_dergar
P tv_ns2_dernurse
P tv_ns2_desdrone
P tv_ns2_desgrav
P tv_ns2_desshutl
P tv_ns2_dockbar
P tv_ns2_dockgen
P tv_ns2_dockhall
P tv_ns2_ecllobby
P tv_ns2_eclpsj1
P tv_ns2_eclpsj2
P tv_ns2_exobat
P tv_ns2_fadecave
P tv_ns2_hivebat
P tv_ns2_hiveeggs
P tv_ns2_hiveroom
P tv_ns2_intro
P tv_ns2_minecent
P tv_ns2_minectun
P tv_ns2_mineops
P tv_ns2_onoschar
P tv_ns2_refhall1
P tv_ns2_refhall2
P tv_ns2_reflava1
P tv_ns2_reflava2
P tv_ns2_reftram
P tv_ns2_refturbo
P tv_ns2_specarmo
P tv_ns2_specimen
P tv_ns2_title
P tv_ns2_tramrep
P tv_ns2_veilsysw
P tv_qtine
P tv_soa

// Y: Glass
Y +0sign_porn
Y +1sign_porn
Y ice_wntr
Y iceblock
Y iceglass
Y icerocks
Y icetiles
Y lightoff
Y lighton
Y rustlight
Y rustlights

// F: Flesh
F {snow_netting

// O: Snow
O snow
O snow_ice
O snow_rockedge
O snow_rubble
O snow_wntr

// =============================================================================
// polar_rescue.wad
// =============================================================================

// C: Concrete
C pr_wall_main
C pr_wall_main_b
C pr_wall_main_g
C pr_wall_main_r
C pr_wall_small
C pr_wall_small_b
C pr_wall_small_g
C pr_wall_small_r
C tnnl_swr2t

// M: Metal
M reddr_bridge
M reddr_chasm
M reddr_cmd
M reddr_elev
M reddr_gen
M reddr_incin
M reddr_landpad
M reddr_maint
M reddr_mess
M reddr_nuclear
M reddr_prison
M reddr_radio
M reddr_reactor
M reddr_sec
M reddr_secstore
M reddr_store
M reddr_transf
M reddr_turbine
M reddr_vault
M reddr_warhead
M reddr_watercool
M reddr_work
M sign_bridgec
M sign_celllock
M sign_change
M sign_distrib
M sign_elevp
M sign_gens
M sign_l1
M sign_l2
M sign_l3
M sign_maint
M sign_reaccon
M sign_reaccore
M sign_shower
M sign_shutdown
M sign_stturb
M sign_surface
M sign_water
M sign_waterp

// D: Dirt

// V: Vent

// G: Grate

// T: Tile

// S: Slosh

// W: Wood

// P: Computer
P mon_core_38
P mon_core_off
P mon_exec
P mon_floorb1a
P mon_floorb1b
P mon_floorb2a
P mon_floorb2b
P mon_floort
P mon_lift1
P mon_lift2
P mon_missile
P mon_vaults
P pr_obj_phone
P pr_obj_screen

// Y: Glass

// F: Flesh

// O: Snow
